graph,graph-main,null,Revenu de base ,#616061,Quel impact sur la société ? ,#2469CE,graph-societe,Quel impact sur le travail ?,#3B9D2B,graph-travail,Quel montant ?,#D9B929,graph-montant,Comment le financer ?,#DE6B25,graph-financement,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
graph,graph-societe,graph-main,Quel impact sur la société ? ,#2469CE,Valeur du travail ,#2469CE,data-travail,Perception des chômeurs,#2469CE,data-chomeur,Egalité,#2469CE,data-egalite,Liberté,#2469CE,data-liberte,,,,,,,
data,data-travail,graph-societe,Valeur du travail ,#2469CE,La valeur même du travail serait fortement susceptible de changer avec une telle proposition. Notre perception du travail en serait totalement différente. La société d’aujourd’hui consacre tout son temps à la récolte d’argent. Cela permettrait alors de se consacrer à d’autres choses peut-être plus importantes de la vie. Il pose les questions suivantes: le travail se réduit-il aux activités dont on peut tirer une rémunération ? Celles-ci sont-elles les seules activités qui créent de la richesse ?,Baptiste Mylondo,img/baptiste_mylondo.png,"«L’emploi n’est qu’une manière de travailler parmi d’autres» <br/> Selon Mylondo, le problème vient de la place accordée à l’emploi dans notre société : il est survalorisé. Les activités utiles socialement ne sont aucunement prises en compte et la mise en place du revenu de base permettrait de financer ce type d’activité.",Mouvement Français pour un Revenu de Base (MFRB),img/mfrb.png,"Mettre en place un revenu de base pourrait apparaître comme un choix à chaque individu de s’engager dans des activités auxquelles il donne du sens, et qui donc seront des activités productives de sens lorsqu’elles ne sont pas productives économiquement, comme par exemple un bénévole d’une association sportive ou caritative, ou des parents qui se mobilisent collectivement. L’association résume sa vision de la valeur du travail dans le schéma suivant, disponible sur leur site web: <br/> <img src=""img/val_travail_mfrb.jpg"" alt="""" style=""position:relative;left:50%;width:250px;margin-left:-125px;""/>",De Villepin,img/dominique_de_villepin.png,"En se basant sur des études réalisées sur des jeunes chômeurs de moins de 25ans, le revenu de base n’incite pas à l’oisiveté. Le travail est aujourd’hui une valeur clé.",,,,,,,,,
data,data-chomeur,graph-societe,Perception des chômeurs,#2469CE,"La perception du chômeur serait ré-évaluée, dans un sens ou dans un autre: il pourrait être vu comme quelqu’un qui souhaite se consacrer à autre chose (comme faire parti d’une association par exemple) et donc mieux vu qu’aujourd’hui, ou bien au contraire, l’image du « feignant » qui existe déjà pourrait être renforcée par ceux qui ont fait le choix de continuer à travailler au même rythme qu’aujourd’hui. En effet, l’assistanat est un thème récurrent en politique: il consiste à dénigrer une proposition d’aide sociale au motif que des gens en profiteraient pour ne rien faire. Beaucoup de chômeurs sont ainsi stigmatisés et ne font pas les démarches nécessaires pour toucher les allocations auxquelles ils sont éligibles: d'après le comité d'évaluation du RSA, ""le taux moyen de non-recours au RSA est de 50%” (une autre raison pour laquelle ces demande ne sont pas faites est que les gens qui sont éligibles au RSA ne sont pas forcément au courant).",Alain Wolfelspeger,img/alain_wolfelspeger.png,"""les laborieux sont injustement exploités par les paresseux [...] cette allocation n'impose en contrepartie aucune obligation aux bénéficiaires""",PPLD,img/ppld.png,“Aujourd’hui de nombreuses personnes éligibles au RSA refusent de s’en servir car ils trouvent cette démarche dénigrante et intrusive. Le revenu de base permettrait donc d’aider ces humains dans le besoin.”,,,,,,,,,,,,
data,data-egalite,graph-societe,Egalité,#2469CE,"L’idée même du revenu de base, aussi appelé revenu universel, est égalitaire puisqu’elle consiste à donner la même somme d’argent à tous les citoyens sans aucun critère. Cependant, selon les différentes propositions de financement, le revenu de base peut tendre à réduire les inégalités ou au contraire à les accentuer: s’il est financé par la TVA en grande partie, on remarque bien que le consommateur de la classe moyenne paiera autant que l’homme le plus riche du pays, tandis que s’il y a un impôt progressif (exponentiellement même, et non quasi linéairement comme aujourd’hui), les inégalités seront réduites.",Marc de Basquiat,img/marc_de_basquiat.png,"En effet, l’impôt actuel n’est pas vraiment progressif comme on pourrait le penser, mais est quasiment linéaire remarque Marc de Basquiat et ce sont les classes moyennes qui paient le plus en proportion. Il propose ainsi afin que le revenu de base soit le plus égalitaire possible de le finance par la LIBERTAXE, un impôt sur les revenus à la hauteur de 23% dès le premier euro gagné.",Baptiste Mylondo,img/baptiste_mylondo.png,Son ambition est de limiter les inégalités entre les pauvres et les riches. Le revenu de base serait donc majoritairement financé par les plus aisés ce qui tenderait à diminuer l’écart des salaires avec un salaire minimum égale au revenu de base de 750 euros pour lui.,,,,,,,,,,,,
data,data-liberte,graph-societe,Liberté,#2469CE,"La notion même de liberté serait touchée par le revenu de base puisque chacun d’entre nous serait en droit de choisir s’il veut travailler ou non, ce choix ne lui serait plus imposé. Le chômage massif pousse des gens à prendre un emploi qu’ils n’aiment pas forcément. Avec un revenu de base, des jeunes pourraient poursuivre leurs études, d'autres pourraient plus facilement choisir le bénévolat.",De Villepin,img/dominique_de_villepin.png,"Il est aujourd’hui “nécessaire de donner au citoyen la liberté de se consacrer aux choses de la cité, comme les citoyens athéniens hier”.",Mouvement Français pour un Revenu de Base (MFRB),img/mfrb.png,“Garantir le revenu de base revient à donner à l’individu une nouvelle liberté pour développer ses multiples talents. Il s’agirait de lui donner le pouvoir et l'initiative et mettre en place un nouveau mode de vie. Chacun aurait plus de liberté pour choisir son activité.”,Van Parijs,img/philippe_van_parijs.png,"“Le revenu de base rendrait par exemple réaliste la possibilité d’accepter un stage ou un contrat d’apprentissage, de combiner une poursuite d’études avec un emploi à temps partiel, ou de prendre le risque de se mettre à son compte ou encore de créer une coopérative, autant de situations dans lesquelles, à l’heure actuelle, et en l’absence d’un revenu de base, la personne serait forcée d’accepter un travail minable à temps plein.”",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
graph,graph-montant,graph-main,Quel montant ?,#D9B929,200-500€,#D9B929,data-200-500,500-900€,#D9B929,data-500-900,1500€,#D9B929,data-1500,La DIA (Dotation Inconditionnelle d’Autonomie),#D9B929,data-dia,,,,,,,
data,data-200-500,graph-montant,200-500€,#D9B929,Ces montants ne changeront pas notre façon de travailler. Elles se posent comme un supplément appréciable permettant à chacun de se prémunir face au aléas de la vie.,Van Parijs,img/philippe_van_parijs.png,"Il plaide pour un euro dividende : un revenu de base inconditionnel, individuel et universel de 200€ pour tout citoyen de l’Union Européenne. Au long terme, ce revenu serait susceptible d’augmenter tant qu’il reste économiquement et écologiquement viable.",PCD,img/christine_boutin.png,"Il soutient l’instauration d’un revenu universel qui serait de 200 euros par mois pour les mineurs, et 400 euros pour les majeurs.",Bresson,img/yoland_bresson.png,"Bresson fixe le montant du revenu de base à 15% du PIB, soit environ 384 milliards d’euros, ce qui équivaut à 492 euros par personne et par mois. Mais contrairement aux libéraux, ce n’est pas le montant qui est fixé mais un pourcentage du PIB, ce qui signifie que le revenu d’existence est amené à augmenter à mesure que celui-ci augmente.",,,,,,,,,
data,data-500-900,graph-montant,500-900€,#D9B929,"Les Droits de l’Homme nous rappelle que chaque être humain a le droit de mener sa vie dignement. Un tel revenu de base aurait comme conséquence directe l’éradication dans la très grande pauvreté et lutterait efficacement contre la mendicité. A terme, cela pourrait limiter les effets de la discrimination économique et la marginalisation d’un pan entier de la société.",De Villepin,img/dominique_de_villepin.png,"Il propose un revenu de 850€ par mois pour toute personne de plus de 18 ans.Il correspond au seuil de pauvreté en France sous lequel vivent 7 millions de citoyens. Ce revenu serait dégressif jusqu’à 1500€, limite au dessus duquel il ne sera pas cumulable.",Baptiste Mylondo,img/baptiste_mylondo.png,"Il milite pour un revenu inconditionnel de 750 euros mensuels. Tout comme De Villepin son ambition est d’éradiquer la pauvreté, c’est pourquoi, le revenu est proche du seuil de pauvreté.",,,,,,,,,,,,
